1.7	2.25	2.67	15.72	15.72	0.6	70.04	4.71
4.9	2.32	2.64	12.12	12.12	0.3	-1.0 	-1.0 
5.1	2.26	2.66	15.04	15.04	0.2	69.75	4.55
-1.0 	2.31	2.64	12.50	12.50	1.5	-1.0 	-1.0 
40.0	2.33	2.76	15.27	15.27	0.01	96.48	0.54
99.9	1.78	2.83	37.10	37.10	879.50	4.47	35.44
98.0	2.26	2.84	20.30	21.48	45.5	9.80	19.37
90.1	2.43	2.85	14.64	17.89	70.8	15.46	15.12
99.9	2.59	2.71	4.43	4.43	-1.0 	60.24	1.76
99.9	2.45	2.80	12.41	12.41	-1.0 	33.25	8.28
-1.0 	2.40	2.83	15.19	17.31	13.6	-1.0 	-1.0 
90.4	2.54	2.89	12.08	13.49	7.3	38.04	8.36
96.0	2.58	2.73	5.32	9.52	0.4	40.33	3.17




