3.5	2.27	2.68	15.57	15.57	0.04	93.46	1.02
3.5	2.30	2.68	14.33	14.33	0.05	93.99	0.86
0.9	2.32	2.65	12.19	12.19	0.01	96.00	0.49
0	2.27	2.67	14.88	14.88	0.1	85.22	2.20
3.9	2.28	2.7	15.36	15.36	0.09	90.81	1.41
3.5	2.27	2.68	15.25	15.25	0.04	93.02	1.06
1.9	2.32	2.68	13.17	13.17	0.001	96.52	0.46
3.3	2.32	2.69	13.88	13.88	0.03	95.55	0.62
0	2.26	2.68	15.45	15.45	0.2	85.41	2.25
0.9	2.37	2.67	10.85	10.85	0.01	94.23	0.63
1.7	1.97	2.64	25.28	25.28	577.3	13.94	21.76
2.8	1.97	2.64	25.54	25.54	410.4	-1.0 	-1.0 
0	1.98	2.65	25.03	25.03	204.5	18.35	20.44
4.8	1.99	2.64	24.80	24.80	380.5	15.11	21.05
1.4	1.97	2.64	25.41	25.41	530.7	13.45	21.99
4.4	2.02	2.64	23.30	23.30	-1.0 	32.97	15.62
4.7	1.97	2.64	25.12	25.12	265.3	23.45	11.60
3.8	2.07	2.64	21.42	21.42	-1.0 	27.22	15.59
4.0	2.03	2.64	22.79	22.79	204.6	23.28	17.48
3.6	2.01	2.63	23.79	23.79	95.5	25.55	17.71
4.3	1.97	2.64	25.18	25.18	418.0	20.49	20.02
1.3	2.04	2.64	22.88	22.88	168.3	24.08	17.37
3.8	2.02	2.63	23.38	23.38	309.2	18.19	19.13
4.1	2.02	2.64	23.26	23.26	90.9	26.29	17.14
3.7	2.08	2.64	21.35	21.35	35.4	39.99	12.81
3.4	2.06	2.64	21.91	21.91	25.70	38.45	13.49
4.0	2.01	2.64	23.98	23.98	129.3	28.26	17.20
1.6	2.06	2.65	21.97	21.97	65.8	41.34	12.89
0	2.06	2.64	21.93	21.93	38.0	38.98	13.38
0	1.99	2.64	24.42	24.42	111.9	28.90	17.36
0.8	2.08	2.64	21.14	21.14	21.9	45.60	11.50
0	2.30	2.68	14.24	14.24	0.01	95.71	0.61
0	2.32	2.67	12.93	12.93	0.06	86.23	1.78
0	2.27	2.67	14.94	14.94	0.2	71.53	4.25
0.7	2.22	2.67	16.63	16.63	1.5	57.77	7.02
0	2.21	2.65	16.91	16.91	0.5	-1.0 	-1.0 
0	2.21	2.65	16.452	16.45	-1.0 	55.63	7.30
3.2	1.88	2.64	28.53	28.53	650.0	12.92	24.84
2.7	1.93	2.64	26.58	26.58	269.0	16.67	22.15
1.5	2.00	2.65	24.62	24.62	200.5	18.30	20.11
2.7	1.99	2.64	24.68	24.68	275.4	21.87	19.28
0.7	2.00	2.64	24.11	24.11	151.0	20.24	19.23
0	2.02	2.64	23.30	23.30	110.4	20.6	18.50
0	2.00	2.64	2.26	24.26	240.1	17.43	20.03
1.9	2.00	2.65	24.24	24.24	274.4	16.29	20.29
0	2.01	2.65	23.93	23.93	233.8	18.27	19.56
0	1.99	2.63	24.29	24.29	214.3	16.18	20.36
0.6	2.01	2.65	24.14	24.14	284.1	17.82	19.84
0	1.95	2.63	25.73	25.73	324.2	16.92	21.38
0.7	1.95	2.63	25.81	25.81	263.7	17.91	21.19
0	1.96	2.64	25.69	25.69	534.8	16.03	21.57



