36.6	1.85	2.67	30.63	30.63	0.0 	75.59	7.48
93.8	2.05	2.70	23.85	23.85	0.2	66.18	8.07
4.0	1.83	2.58	29.08	29.08	-1.0 	-1.0 	-1.0 
14.2	1.89	2.60	27.07	27.07	0.0 	89.49	2.84
78.7	1.92	2.72	29.31	29.31	0.3	79.92	5.89
84.5	2.10	2.71	22.35	22.35	0.3	87.78	2.73
82.0	2.05	2.70	23.95	23.95	0.2	62.96	8.87
88.5	2.03	2.71	24.88	24.88	0.2	67.56	8.07
81.9	2.06	2.71	24.00	24.00	0.2	75.70	5.83
86.0	1.84	2.70	31.62	31.62	0.7	45.99	17.08
88.7	1.91	2.72	29.57	29.57	0.4	45.82	16.02
85.4	1.95	2.70	27.55	27.55	0.4	50.10	13.75
86.7	2.00	2.70	25.95	25.95	0.2	63.84	9.38
21.0	1.85	2.57	27.70	27.70	-1.0 	-1.0 	-1.0 
93.6	1.46	2.68	45.54	45.54	1.2	37.28	28.56
90.3	1.87	2.70	30.61	30.61	0.7	46.09	16.52
89.1	1.73	2.63	35.71	35.71	1.2	31.75	24.37
85.0	1.76	2.69	34.55	34.55	0.5	36.77	21.85
97.0	1.52	2.65	42.42	42.42	1.2	36.18	15.30
91.6	1.96	2.70	27.51	27.51	0.7	36.26	17.53

