3.9	2.20	2.64	16.63	16.63	22.6	33.90	10.99
6.3	2.14	2.63	18.36	18.36	74.4	29.52	12.94
5.0	2.19	2.63	16.73	16.73	29.3	28.63	11.94
0	2.15	2.64	18.34	18.34	97.2	26.16	13.54
5.2	2.15	2.63	18.25	18.25	78.5	25.46	13.6
0	2.12	2.64	19.35	19.35	108.3	26.26	14.27
6.0	2.14	2.64	18.8	18.8	93.5	23.59	14.36
32.2	2.51	2.66	5.64	5.64	0.02	73.76	1.48
-1.0 	2.19	2.65	17.28	17.28	44.1	-1.0 	-1.0 
33.2	2.53	2.66	4.55	4.55	0.001	83.80	0.74
5.3	2.16	2.64	18.08	18.08	-1.0 	25.49	13.47
0.8	2.12	2.64	19.41	19.41	-1.0 	25.96	14.37
0.2	2.16	2.64	17.96	17.96	-1.0 	32.19	12.18
45.3	2.74	2.77	1.11	1.11	0.001	94.56	0.06
1.8	2.39	2.65	9.79	9.79	0.001	96.41	0.35


