2.3	2.05	2.65	22.62	22.62	3.3	44.89	12.47
3.5	2.24	2.67	16.19	16.19	0.2	91.85	1.32
0.9	2.22	2.67	16.77	16.77	0.1	83.39	2.78
3.6	2.21	2.66	16.84	16.84	0.03	88.69	1.90
24.3	2.39	2.66	9.00	9.00	0.05	90.95	0.90
47.2	2.57	2.70	4.67	4.67	0.001	96.51	0.16
0	2.22	2.67	16.77	16.77	-1.0 	-1.0 	-1.0 
5.6	2.07	2.67	22.48	22.48	1.3	52.69	10.64
3.5	2.12	2.66	20.18	20.18	0.5	59.40	8.19
3.4	2.07	2.65	21.68	21.68	0.9	54.90	9.78
0	2.12	2.65	19.82	19.82	0.6	58.24	8.328
0.9	2.24	2.66	15.56	15.56	0.04	90.58	1.47
24.6	2.38	2.67	10.84	10.84	0.03	91.32	0.94
35.3	2.53	2.71	6.00	6.00	0.001	91.67	0.50
1.1	2.32	2.65	12.46	12.46	0.03	96.28	0.46
3.9	2.30	2.67	13.82	13.82	0.01	95.07	0.68
0	2.28	2.62	14.26	14.26	0.6	90.00	1.43
0	2.29	2.66	14.10	14.10	0.06	84.17	2.23
2.0	2.31	2.70	14.57	14.57	0.04	95.78	0.61
4.1	2.20	2.68	17.76	17.76	0.03	93.13	1.22
0	2.23	2.68	16.36	16.36	0.001	92.99	1.15
3.5	2.26	2.68	15.73	15.73	0.02	94.57	0.85
10.5	2.16	2.68	19.07	19.07	0.001	88.56	2.18



